등록연도,시군구명,연료별,용도별,승용차수,승합차수,특수차수,화물차수
2022,고양시 일산동구,휘발유(유연),비사업용,44,0,0,0
2022,고양시 일산서구,CNG,비사업용,15,0,0,0
2022,고양시 일산서구,CNG,사업용,0,178,0,0
2022,고양시 일산서구,경유,비사업용,26892,1974,150,8723
2022,고양시 일산서구,경유,사업용,125,243,134,1257
2022,고양시 일산서구,기타연료,비사업용,1,69,55,271
2022,고양시 일산서구,기타연료,사업용,0,0,0,9
2022,고양시 일산서구,수소,비사업용,54,0,0,0
2022,고양시 일산서구,엘피지,비사업용,6462,279,4,465
2022,고양시 일산서구,엘피지,사업용,1406,2,0,57
2022,고양시 일산서구,전기,비사업용,845,0,0,171
2022,고양시 일산서구,전기,사업용,391,71,0,113
2022,고양시 일산서구,하이브리드(LPG+전기),비사업용,47,0,0,0
2022,고양시 일산서구,하이브리드(LPG+전기),사업용,3,0,0,0
2022,고양시 일산서구,하이브리드(경유+전기),비사업용,102,0,0,0
2022,고양시 일산서구,하이브리드(경유+전기),사업용,25,0,0,0
2022,고양시 일산서구,하이브리드(휘발유+전기),비사업용,6087,0,0,1
2022,고양시 일산서구,하이브리드(휘발유+전기),사업용,10,0,0,0
2022,고양시 일산서구,휘발유,비사업용,23507,8,1,90
2022,고양시 일산서구,휘발유,사업용,55,0,0,0
2022,고양시 일산서구,휘발유(무연),비사업용,40562,27,0,19
2022,고양시 일산서구,휘발유(무연),사업용,355,0,0,0
2022,고양시 일산서구,휘발유(유연),비사업용,54,0,0,0
2022,과천시,CNG,비사업용,1,1,0,4
2022,과천시,CNG,사업용,0,1,0,0
2022,과천시,경유,비사업용,6802,560,54,1743
2022,과천시,경유,사업용,0,21,8,339
